date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:25	1270/1270	---M--	200	added ('OK')	image/png	etag:%220x8DBCFDFA18DF655%22	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/pcm.png	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/pcm.png	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
19:38:26	332/332	---M--	200	added ('OK')	image/png	etag:%220x8DBCFDFA0F0BBD6%22	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/dm.png	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/dm.png	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
19:38:27	2681/2681	---M--	200	added ('OK')	image/png	etag:%220x8DBCFDFA0F0E2DC%22	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/cs.png	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/cs.png	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
19:38:28	14751/14751	---M--	200	added ('OK')	image/gif	etag:%220x8DBCFDFA18D5A2F%22	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/re.gif	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/re.gif	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
19:38:29	2055/2055	---M--	200	added ('OK')	text/javascript	etag:%220x8DBCFDFA1708796%22	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/nvidia.js	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/nvidia.js	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
19:38:30	503/503	---M--	200	added ('OK')	text/javascript	etag:%220x8DBCFDFA13EF778%22	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/jupiter.js	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/jupiter.js	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
19:38:31	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2018%20Oct%202023%2014:08:31%20GMT	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/w3.png	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/w3.12.delayed	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
19:38:32	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2018%20Oct%202023%2014:08:31%20GMT	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/w1.png	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/w1.13.delayed	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/index.html)
19:38:33	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2018%20Oct%202023%2014:08:33%20GMT	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.14.delayed	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
19:38:34	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2018%20Oct%202023%2014:08:34%20GMT	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.15d41d.delayed	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
19:38:36	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2018%20Oct%202023%2014:08:35%20GMT	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.16.delayed	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
19:38:37	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2018%20Oct%202023%2014:08:36%20GMT	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.17.delayed	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
19:38:38	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2018%20Oct%202023%2014:08:37%20GMT	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.18.delayed	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
19:38:39	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2018%20Oct%202023%2014:08:38%20GMT	https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/https___internetsecuritynotice40.z13.web.core.windows.net_Win08Ay0Er08d8d77_index.html/internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/fonts/glyphicons-halflings-regular.19.delayed	(from https://internetsecuritynotice40.z13.web.core.windows.net/Win08Ay0Er08d8d77/tapa.css)
